country,points,price,province,variety,winery
US,97,70,California,Pinot Noir,Lynmar
US,97,100,California,Pinot Noir,Lynmar
Italy,97,95,Tuscany,Red Blend,Marchesi Antinori
Italy,97,102,Tuscany,Red Blend,Marchesi Antinori
Italy,97,325,Tuscany,Red Blend,Marchesi Antinori
Italy,97,100,Tuscany,Sangiovese,Marchesi de' Frescobaldi
Italy,97,550,Tuscany,Merlot,Masseto
US,97,52,California,Pinot Noir,Melville
US,97,54,California,Pinot Noir,Merry Edwards
US,97,90,California,Cabernet Sauvignon,Napa Angel
US,97,100,California,Red Blend,Niebaum-Coppola
Portugal,97,80,Portugal,Port,Niepoort
Portugal,97,95,Port,Port,Niepoort
Italy,97,240,Tuscany,Red Blend,Ornellaia
US,97,195,California,Bordeaux-style Red Blend,Ovid
US,97,150,California,Cabernet Sauvignon,Paul Hobbs
Australia,97,225,South Australia,Cabernet Sauvignon,Penfolds
Australia,97,150,South Australia,Shiraz,Penfolds
Australia,97,600,South Australia,Shiraz,Penfolds
France,97,275,Champagne,Champagne Blend,Pol Roger
US,97,95,Washington,Cabernet Sauvignon,Quilceda Creek
Portugal,97,100,Douro,Portuguese Red,Quinta do Vale Meao
US,97,95,California,Syrah,Qupé
US,97,65,California,Chardonnay,Ramey
US,97,65,California,Cabernet Sauvignon,Redmon
US,97,120,California,Red Blend,Ridge
Germany,97,612,Rheingau,Riesling,Robert Weil
US,97,60,California,Chardonnay,Rochioli
France,97,350,Champagne,Chardonnay,Salon
Spain,97,65,Northern Spain,Tempranillo Blend,San Vicente
Germany,97,445,Rheingau,Riesling,Schloss Johannisberger
Germany,97,486,Rheingau,Riesling,Schloss Johannisberger
US,97,175,California,Champagne Blend,Schramsberg
US,97,80,California,Pinot Noir,Sea Smoke
US,97,85,California,Pinot Noir,Semper
US,97,50,California,Pinot Noir,Sequana
US,97,190,California,Cabernet Sauvignon,Shafer
US,97,225,California,Cabernet Sauvignon,Shafer
US,97,110,California,Bordeaux-style Red Blend,Signorello
US,97,130,California,Cabernet Sauvignon,Spottswoode
US,97,195,California,Cabernet Sauvignon,Stag's Leap Wine Cellars
US,97,75,California,Cabernet Sauvignon,Stonestreet
US,97,70,California,Pinot Noir,Talley
Portugal,97,225,Port,Port,Taylor Fladgate
Italy,97,240,Tuscany,Merlot,Tenuta dell'Ornellaia
Italy,97,460,Tuscany,Merlot,Tenuta dell'Ornellaia
Italy,97,200,Tuscany,Red Blend,Tenuta dell'Ornellaia
Italy,97,200,Tuscany,Red Blend,Tenuta dell'Ornellaia
Italy,97,215,Tuscany,Red Blend,Tenuta dell'Ornellaia
Italy,97,240,Tuscany,Red Blend,Tenuta dell'Ornellaia
Italy,97,190,Tuscany,Red Blend,Tenuta San Guido
Italy,97,220,Tuscany,Red Blend,Tenuta San Guido
Italy,97,227,Tuscany,Red Blend,Tenuta San Guido
Spain,97,227,Northern Spain,Tinta de Toro,Teso La Monja
US,97,150,California,Bordeaux-style Red Blend,The Maiden
Australia,97,105,South Australia,Shiraz,Torbreck
US,97,50,California,Cabernet Sauvignon,Trefethen
Italy,97,350,Tuscany,Merlot,Tua Rita
Italy,97,130,Tuscany,Sangiovese,Valdicava
France,97,208,Champagne,Champagne Blend,Veuve Clicquot Ponsardin
Spain,97,150,Northern Spain,Tempranillo,ViÃ±edos de Paganos
Italy,97,130,Piedmont,Nebbiolo,Vietti
France,97,130,Bordeaux,Bordeaux-style Red Blend,Vieux Château Certan
US,97,150,California,Cabernet Sauvignon,Vine Cliff
Germany,97,250,Mosel-Saar-Ruwer,Riesling,Von Othegraven
US,97,100,California,Red Blend,Von Strasser
France,97,95,Burgundy,Chardonnay,William FÃ¨vre
US,97,50,California,Chardonnay,Williams Selyem
US,97,59,California,Pinot Noir,Williams Selyem
US,97,72,California,Pinot Noir,Williams Selyem
US,97,75,California,Pinot Noir,Williams Selyem
US,97,78,California,Pinot Noir,Williams Selyem
US,97,82,California,Pinot Noir,Williams Selyem
US,97,85,California,Pinot Noir,Williams Selyem
US,97,95,California,Pinot Noir,Williams Selyem
US,97,125,California,Pinot Noir,Williams Selyem
US,97,625,California,Cabernet Sauvignon,Yao Ming
